id,value,class,positive,date,comment
61,0.890421395625977,G,true,Sun Nov 18 2018,gn:a:gy:l[
92,0.815587092831723,A,false,Thu Nov 01 2018,`ojc`lcgv=
46,0.28632311116410314,A,true,Tue Aug 28 2018,&d/^$d?d&n
80,0.3084765334722457,D,false,Wed Nov 21 2018,_bs>ug;;[:
5,0.9455582653747112,D,true,Fri Aug 03 2018,yoz}/zhe?k
49,0.5698446310958389,C,true,Sat Aug 25 2018,^%be{&f,;|
86,0.1159132839505086,G,false,Thu Nov 08 2018,rcceh|\sh\
95,0.4758776171944967,E,false,Fri Nov 16 2018,z^z?vq}%^-
99,0.07667354200572585,E,false,Sat Aug 25 2018,q}n!;`qz>}
92,0.9624477671250227,A,false,Mon Nov 26 2018,e{=\g^ylea
31,0.4682068922420184,D,true,Mon Oct 29 2018,a")e_];|f%
33,0.9724437687314951,F,false,Thu Nov 08 2018,$}x]*<d(*x
17,0.6881556823350721,E,false,Sun Nov 18 2018,<@^*$=t-~q
42,0.02599290235314311,G,false,Fri Aug 10 2018,h@a%<q%k<.
48,0.1088162100302148,D,true,Sat Aug 04 2018,%eu^\-&t`u
70,0.24799400696839768,D,false,Fri Aug 10 2018,=xx%x[[)lm
35,0.923818830072969,D,false,Wed Dec 12 2018,j;e`ll?q/q
30,0.8254279982277781,A,true,Mon Dec 03 2018,?`lxbc)^]`
62,0.8103050354944317,A,false,Sun Dec 09 2018,q(*(p:_*d`
69,0.10760211156106392,F,false,Wed Nov 14 2018,icu.--tr+u
67,0.5048847008045425,C,false,Tue Aug 14 2018,,v+//&l&|<
64,0.0598935026547176,G,true,Wed Dec 12 2018,(t}r`>a&--
80,0.10372362720700745,B,false,Tue Nov 13 2018,h<%^o^]f<_
40,0.6754200993795494,A,true,Thu Nov 22 2018,m@i<<s^e?]
43,0.35147736296597976,D,true,Tue Dec 04 2018,\ef**.|+y<
46,0.4472311892836651,C,true,Wed Jul 18 2018,/@)g\d`@"<
77,0.359355601922541,G,false,Wed Oct 31 2018,f}/x"/gkyx
36,0.7647698847416964,F,true,Thu Aug 23 2018,qpvg*vfn*o
21,0.6967992615105589,E,true,Fri Dec 07 2018,^yt..(_:]d
52,0.3318924318137917,C,false,Mon Dec 03 2018,oi@_>_r{:/
74,0.2284583388392709,E,false,Mon Jul 23 2018,(<!tcg_!&:
38,0.3055984842962709,A,true,Wed Aug 15 2018,hs=`//h:`}
97,0.7870974780618734,B,true,Thu Jul 19 2018,@c,cfty+fi
35,0.8815838558856646,A,true,Thu Oct 25 2018,]n+`!!)*l?
92,0.46825600900550435,E,false,Sat Sep 01 2018,?b<)b(cb-+
71,0.24213072445947637,E,true,Mon Aug 06 2018,f>q#u*!lik
68,0.7351864027548638,B,true,Tue Aug 21 2018,sw$ef<<kq,
61,0.828437793227075,C,true,Thu Aug 23 2018,>>>`}r~`pt
44,0.3314446606043764,F,true,Wed Aug 08 2018,*?/:`@::t`
50,0.13090747519102952,C,true,Wed Nov 21 2018,*vqtesqyv{
38,0.900467685541595,B,false,Fri Aug 24 2018,u&}f~?`a)`
91,0.157294005711605,A,false,Mon Jul 23 2018,}b`,@ljjlt
2,0.6413604958879335,D,true,Tue Aug 28 2018,k<csj_!?y>
70,0.40414621761237046,A,true,Sat Aug 25 2018,_|b!_;q]^|
21,0.1454763281696485,A,true,Sat Dec 01 2018,@o`_ximuqx
69,0.8197035418123633,F,false,Fri Aug 24 2018,tf]-]s$?>n
65,0.15602120475255465,C,false,Sat Aug 25 2018,pq!n|-n"?{
17,0.003259681773059242,C,false,Tue Oct 30 2018,s{f{nhzbya
46,0.1084551297248304,G,false,Fri Aug 24 2018,(+f|qfnqb&
72,0.014573874751606875,B,true,Wed Nov 14 2018,p!!j!^)jt+
97,0.17548160581522199,G,true,Fri Nov 16 2018,^;$*`\;na]
27,0.4061519269440941,C,true,Mon Dec 03 2018,-tooj^^~mt
33,0.3663429759124168,D,false,Wed Aug 08 2018,|%v_-u|u*j
46,0.36529782579960224,A,false,Sat Dec 01 2018,j`-n``&j`h
